title,organization,category,location,subject_area,deadline,timeline,grade_level,description,link,source,source_url,scraped_at
Rutgers Youth Enjoy Science (RUYES),Rutgers Youth Enjoy Science (RUYES),Research,"New Brunswick, New Jersey",Medicine,March 8,Year-round,Rising Junior or Senior,program introduces New Jersey high school students to the biomedical sciences and ultimately careers in cancer research and healthcare. This is a two-year program in which participants receive professional training during the school year and engage in cutting-edge cancer research in mentor-supervised labs over the summer. The program culminates with students presenting a poster and...,https://www.cinj.org/education/rutgers-youth-enjoy-science-ruyes,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
NJIT High School STEM Research Programs,NJIT High School STEM Research Programs,Research,"Newark, New Jersey",STEM,February 27,Summer,Rising Junior or Senior,"program provided by the New Jersey Institute of Technology introduces high schoolers to discovery and innovation—ultimately encouraging them to pursue careers in science. Students work under the supervision of faculty and receive mentoring from graduate and undergraduate students while exploring one of five research areas: Artificial Intelligence, Machine...",https://research.njit.edu/forstudents,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
Newark Museum of Art’s Explorers Teen Program,Newark Museum of Art’s Explorers Teen Program,Internship,"Newark, New Jersey",Humanities,June 15,Year-round,15-19,"Program helps high schoolers build college, career, and life readiness through the museum’s collections, resources, and staff. The internship program lasts three to four years, with interns committing to 6 hours a week after school during the academic year and 25 hours per week over the summer. They must also devote 60 hours to community service annually. Participants in...",https://newarkmuseumart.org/program/explorers/,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
Science Medicine and Related Topics (SMART) Program,Science Medicine and Related Topics (SMART) Program,Summer Program,"Newark, New Jersey",Medicine,May 9,Year-round,15-19,"program is aimed at increasing the interest of economically and educationally disadvantaged students in health-related professions. Students build the skills needed to advance their knowledge of science while being led by NJ-certified science teachers, New Jersey Medical School Faculty, and medical, dental, and graduate students. The SMART program follows a hybrid...",https://njms.rutgers.edu/education/odace/smart/,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
Bergen County Sheriff’s Office Internship Opportunities,Bergen County Sheriff’s Office Internship Opportunities,Internship,"Hackensack, NewJersey",Law,Rolling,Year-round,15-19,"Student Internship provides high schoolers with a chance to gain real work experience in law enforcement. Students work in a variety of settings, gaining broad exposure to the day-to-day workings of a law enforcement agency and building their skills. Students must be residents of Bergen County to participate in the program.",https://www.bcsd.us/comm-outreach/youth-programs,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
NJCCIC High School Internship Program,NJCCIC High School Internship Program,Internship,"Ewing Township, New Jersey",Computer Science,May 9,Summer,15-19,offers high schoolers the opportunity to participate in a summer internship. Two tiers of internships are available: a basic internship program for students with an interest in cybersecurity and an advanced program for students with prior cybersecurity experience and an interest in further exploring the field.,https://www.cyber.nj.gov/connect/careers/internships/high-school-internship-program,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
Governor’s School in the Sciences,Governor’s School in the Sciences,Research,"Madison, New Jersey",STEM,January 10,Summer,Junior,"Program in the Sciences (GSNJS) is a prestigious three-week residential program for NJ students with an aptitude for and interest in science. The program is held on the campus of Drew University, where participants engage in college-level research, broaden their scientific knowledge, and are exposed to potential career paths in the sciences—kind of like a summer internship as a...",https://drew.edu/academic/continuing-education-non-degree-programs/summer-programs/governors-school/,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
Bank of America Student Leaders,Bank of America Student Leaders,Internship,Various,Business,January 15,Summer,Junior or Senior,"Student Leaders is a prestigous summer program offering high schoolers the chance to participate in eight-week paid internships. Participants are paired with nonprofits like Boys and Girls Clubs of America and Habitat for Humanity, where they gain hands-on experience and learn valuable civic, social, and business leadership skills. The program culminates with an all-expenses-paid trip to a...",https://about.bankofamerica.com/en/making-an-impact/student-leaders,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
Waksman Institute Summer Experience (WISE) Program,Waksman Institute Summer Experience (WISE) Program,Research,"Piscataway, New Jersey",STEM,TBD,Summer,16-19,"is a two-week, non-residential program that provides high school students the chance to engage in an authentic research project in molecular biology and bioinformatics. Under the guidance of Rutgers faculty, students participate in seminars, conduct lab work to purify and analyze DNA fragments, analyze gene sequences, and submit their vetted DNA sequence analysis for publication on GenBank—the international...",https://wssp.rutgers.edu/wise,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
PPPL High School Summer Internship,PPPL High School Summer Internship,Research,"Princeton, New Jersey",Engineering,March 1,Summer,Graduating Senior,"provides a limited number of summer internships to graduating high school seniors. Interns work on a project with research or engineering staff for eight to ten weeks. The program is aimed at highly motivated students and it’s recommended that applicants have taken courses in physics, chemistry, advanced math, and engineering, along with having experience in...",https://www.pppl.gov/high-school-summer-internship,StandOut Connect,https://www.standoutconnect.org/post/20-internships-for-high-school-students-in-new-jersey,2026-06-10T02:00:39+00:00
MIT Research Science Institute,MIT Research Science Institute,Research,"Cambridge, MA Format: Summer Length: 6 weeks Cost: Free Eligibility: High school juniors Best for: Exceptionally advanced juniors seeking an end-to-end research experience. What you do: After completing one week of STEM coursework with MIT professors,",STEM,,Summer (6 weeks),High school juniors,"students spend the remaining five weeks participating in an intensive, mentored individual project experience that culminates in a written and oral presentation. Reality check: One of the most...",https://www.cee.org/programs/research-science-institute,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Texas Tech University Anson L. Clark Scholars Program,Texas Tech University Anson L. Clark Scholars Program,Research,"Lubbock, TX Format: Summer Length: 7 weeks Cost: Free;",STEM,,Summer (7 weeks),Rising seniors and college freshmen aged 17+ by the start of the program,"students receive a $750 stipend upon completion of their projects Eligibility: Rising seniors and college freshmen aged 17+ by the start of the program Best for: High-achieving students who want a serious, small-cohort research experience that includes the completion of a paper. What you do: Work closely with a faculty mentor to complete a research paper in one of eight research areas...",https://www.depts.ttu.edu/honors/academicsandenrichment/affiliatedandhighschool/clarks/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Stony Brook University Simons Summer Research Program,Stony Brook University Simons Summer Research Program,Research,"Stony Brook, NY Format: Summer Length: 6 weeks Cost: Transportation (commuters) or room/board (residential; ~$2,450); stipends awarded at the end of the program Eligibility: High school juniors Best for: Juniors who want a mentored research placement across a wide range of disciplines and can meet potential prerequisites (AP coursework, programming experiene=ce, etc.). What you do: After being matched with a mentor and research team, students...",STEM,,Summer (6 weeks),High school juniors,"program Eligibility: High school juniors Best for: Juniors who want a mentored research placement across a wide range of disciplines and can meet potential prerequisites (AP coursework, programming experiene=ce, etc.). What you do: After being matched with a mentor and research team, students...",https://www.stonybrook.edu/commcms/simons/about/about.php,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Jackson Lab Summer Student Program,Jackson Lab Summer Student Program,Research,"Bar Harbor, ME Format: Summer Length: 10 weeks Cost: Free; students receive a $7,500 stipend plus funded room, board, and travel Eligibility: High school seniors Best for: Students who want to design and execute a substantial independent research project, especially in genetics/genomics-adjacent fields. What you do: Conduct full-time, mentored research in bioinformatics and computational biology, cancer, developmental biology and aging,...",Medicine,,Summer (10 weeks),High school seniors,"students receive a $7,500 stipend plus funded room, board, and travel Eligibility: High school seniors Best for: Students who want to design and execute a substantial independent research project, especially in genetics/genomics-adjacent fields. What you do: Conduct full-time, mentored research in bioinformatics and computational biology, cancer, developmental biology and aging,...",https://www.jax.org/education-and-learning/high-school-students-and-undergraduates/learn-earn-and-explore,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Science and Engineering Apprenticeship Program (SEAP),Science and Engineering Apprenticeship Program (SEAP),Research,Various,Engineering,,Summer (8 weeks),"High school sophomores, juniors, and seniors aged 16+, but some labs have additional requirements","Students who want a paid, mentored research experience with strong STEM/engineering pathways and multiple lab options (each site has its own set of STEM focus areas). What you do: Participate in real Naval research while being mentored...",https://www.navalsteminterns.us/seap/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
American Chemical Society — Project SEED,American Chemical Society — Project SEED,Research,"Multiple Format: Summer Length: 8-10 weeks Cost: Free; students receive a $4,000 stipend Eligibility:",STEM,,Summer (8-10 weeks),"All high school students whose families meet annual income requirements, but preferably current sophomores, juniors, or seniors","students receive a $4,000 stipend Eligibility: All high school students whose families meet annual income requirements, but preferably current sophomores, juniors, or seniors Best for: Students from income-eligible households who want a paid, mentored research experience in the chemical sciences that has a strong national reputation. What you do: Work full-time on mentored, hands-on research in the chemical...",https://www.acs.org/education/students/highschool/seed.html,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
NASA GeneLab for High Schools (GL4HS) Program,NASA GeneLab for High Schools (GL4HS) Program,Research,"Virtual Format: Summer Length: 12 weeks Cost: Free Eligibility: Rising juniors, seniors, and college freshmen,",STEM,,Summer (12 weeks),"Rising juniors, seniors, and college freshmen, who are accepted on a first-come, first-serve basis until the program is filled","are accepted on a first-come, first-serve basis until the program is filled Best for: Students interested in space biology research, omics-based research, and bioinformatics/computational biology who want a free, remote research-training experience and can commit steady weekly time. What you do: Complete 20+ hours/week of asynchronous assignments,...",https://www.nasa.gov/ames/genelab-for-high-schools/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Eugene and Ruth Roberts Summer Student Academy,Eugene and Ruth Roberts Summer Student Academy,Research,"Duarte, CA Format: Summer Length: 10 weeks Cost: Free;",Medicine,,Summer (10 weeks),High school students aged 16+,"students receive a stipend of $4,500 Eligibility: High school students aged 16+ Best for: Students interested in biomedical research who want a serious, full-time internship with tangible outcomes. What you do: Based on their interests and lab availability, students join a biomedical research team within the City of Hope/Irell & Manella Graduate School of Biological Sciences (IMGS) research...",https://www.imgs-coh.edu/summer-student-academy,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
National Institutes of Health Summer Internship Program,National Institutes of Health Summer Internship Program,Research,Research,Medicine,,Summer (~6-8 weeks),High school seniors who will be 18+ by the start of the program,"are available at many NIH intramural research facilities, including the main campus in Bethesda, MD Format: Summer Length: ~6-8 weeks Cost: Free; stipend provided Eligibility: High school seniors who will be 18+ by the start of the program Best for: Students seeking a research-intensive internship available across the biomedical sciences, behavioral sciences, and social sciences. What you do: Work full-time in an NIH research...",https://www.training.nih.gov/research-training/pb/sip/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Scripps Student Research Internship Program,Scripps Student Research Internship Program,Research,"La Jolla, CA Format: Summer Length: 10 weeks Cost: Free;",Medicine,,Summer (10 weeks),High school students aged 16+,"are typically offered Eligibility: High school students aged 16+ Best for: Students interested in translational medical research who can arrange their own housing. What you do: Develop an independent research project under a mentor and present your work at a poster symposium. Reality check: No housing is provided (an access barrier for non-local students), and the program is...",https://www.scripps.edu/science-and-medicine/translational-institute/education-and-training/student-research-internship/?tab-2-drawers=1&tab-1-drawers=1,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
University of Minnesota Lillehei Heart Institute Summer Research Scholars Program,University of Minnesota Lillehei Heart Institute Summer Research Scholars Program,Research,"Minneapolis, MN Format: Summer Length: 8 weeks Cost: Free;",STEM,,Summer (8 weeks),High school juniors and seniors age 16+ as well as undergraduate students,"students receive an hourly wage Eligibility: High school juniors and seniors age 16+ as well as undergraduate students Best for: Students strongly interested in cardiovascular research who are looking for an intensive lab experience. What you do: After being assigned to a laboratory as well as a faculty mentor, students spend the summer conducting intensive basic or clinical cardiovascular...",https://med.umn.edu/lhi/educational-programs/summer-research-scholars-program,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
HOPP Summer Student Program at Memorial Sloan Kettering Cancer Center,HOPP Summer Student Program at Memorial Sloan Kettering Cancer Center,Research,"New York, NY Format: Summer Length: 8 weeks Cost: Free;",Medicine,,Summer (8 weeks),"High school juniors who live within 25 miles (New York, Connecticut, or New Jersey) of the main campus","students receive a stipend of $1,200 Eligibility: High school juniors who live within 25 miles (New York, Connecticut, or New Jersey) of the main campus Best for: Local juniors interested in biomedical or computational research who are looking for a highly prestigious, lab-based internship. What you do: Join an MSK research lab and work with a mentor to complete a self-directed project...",https://www.mskcc.org/education-training/high-school-college/hopp-summer-student,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Broad Summer Scholars Program,Broad Summer Scholars Program,Research,"Cambridge, MA Format: Summer Length: 6 weeks Cost: Free;",Medicine,,Summer (6 weeks),Rising seniors who attend an MA high school and live within commuting distance,"students receive $3,600 stipend Eligibility: Rising seniors who attend an MA high school and live within commuting distance Best for: MA-based students who live within commuting distance and want a paid, mentored placement at a top-tier research institute. What you do: Conduct an original research project with Broad scientists (areas can include cancer biology, psychiatric disease, computational biology,...",https://www.broadinstitute.org/partnerships/education/k-12-outreach/broad-summer-scholars-program,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Chicago EYES on Cancer,Chicago EYES on Cancer,Research,"Chicago, IL Format: All year, with two 8-week summer research experiences Length: 2 years Cost: Free;",Medicine,,"All year, with two 8-week summer research experiences (2 years)","High school sophomore, junior, or senior aged 16+ who is a resident of Cook, Lake, Will, or DuPage counties in Illinois or Lake County in Indiana","students receive $5,000 stipend per year Eligibility: High school sophomore, junior, or senior aged 16+ who is a resident of Cook, Lake, Will, or DuPage counties in Illinois or Lake County in Indiana Best for: Chicago-area students interested in cancer research who want a multi-year, high-support, paid program that involves lab work. What you...",https://www.uchicagomedicine.org/cancer/education-outreach/student-education/high-school-undergraduate/eyes,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
City Tech College STEM Research Academy,City Tech College STEM Research Academy,Research,"New York, NY Format: Academic year & summer Length: Two semesters (January-August) Cost: Free;",STEM,,Academic year & summer (Two semesters (January-August)),NYC public school sophomore or junior with high school average of 80+,"students who want a structured pathway into research and can commit to an eight-month program. What you do: In this two-semester program, students build research foundations in a spring pre-college...",https://www.studentresearchnyc.org/our_programs/city-tech-college-now-stem-research-academy/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Dana-Farber Continuing Umbrella of Research Experiences (CURE) Summer Program,Dana-Farber Continuing Umbrella of Research Experiences (CURE) Summer Program,Research,"Boston, MA Format: Summer Length: 7-11 weeks Cost: Free.",Medicine,,Summer (7-11 weeks),"High school sophomores, juniors, or seniors who attend an MA high school and can commute to Boston 5 days/week in the summer.","is a full-time, paid opportunity. Eligibility: High school sophomores, juniors, or seniors who attend an MA high school and can commute to Boston 5 days/week in the summer. Best for: MA high school students serious about biomedical & cancer research who can commit to daily commuting. What you do: After being paired with a research mentor, students conduct mentored cancer research while...",https://www.dfhcc.harvard.edu/research/cancer-disparities/students/cure-overview,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Cedars Sinai INSPIRE High School,Cedars Sinai INSPIRE High School,Research,"Los Angeles, CA Format: Summer Length: 8-10 weeks Cost: Free;",Computer Science,,Summer (8-10 weeks),High school students age 16+,"students are paid Eligibility: High school students age 16+ Best for: Students who want a paid, mentored research internship at a major medical center. What you do: Participate in research projects (basic, translational, or clinical) and receive exposure to technology while building core research skills like study design, data analysis, literature review, writing, and speaking. Reality check:...",https://www.cedars-sinai.edu/education/professional-training-programs/internship/inspire.html,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
The Rockefeller University Summer Science Research Program (SSRP),The Rockefeller University Summer Science Research Program (SSRP),Research,"New York, NY Format: Summer Length: 7 weeks Cost: Free Eligibility: High school juniors and seniors aged 16+ Best for: Students looking for a team-based, mentored research experience at a dedicated biomedical research institution. What you do: Work 35 hours/week on a mentored research project as part of a small research team (each of the four teams consists of 8-10 students and at least three research mentors). Research topics",Medicine,,Summer (7 weeks),High school juniors and seniors aged 16+,"Students looking for a team-based, mentored research experience at a dedicated biomedical research institution. What you do: Work 35 hours/week on a mentored research project as part of a small research team (each of the four teams consists of 8-10 students and at least three research mentors). Research topics will be aligned to students’ interests and...",https://www.rockefeller.edu/outreach/ssrp/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Cleveland Clinic Lerner Research Institute,Cleveland Clinic Lerner Research Institute,Research,"Cleveland, OH Format: Varies; depends on lab Length: Varies; depends on lab Cost: Free Eligibility:",Medicine,,Varies; depends on lab (Varies; depends on lab),High school students aged 16+,"students aged 16+ Best for: Students interested in basic, translational, or clinical research at a top hospital. What you do: Either secure a placement by contacting a lab directly or apply to the formal, ten-week Summer Research Internship, which is geared toward students interested in gaining hands-on biomedical research experience and career exposure....",https://www.lerner.ccf.org/education/undergraduate-high-school-programs/overview/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
OHSU School of Medicine Partnership for Scientific Inquiry (PSI),OHSU School of Medicine Partnership for Scientific Inquiry (PSI),Research,"Portland, OR Format: Academic semester + summer Length: 16+ weeks Cost: Free Eligibility: Oregon-based high school sophomores, juniors, and seniors aged 16+ Best for:",Medicine,,Academic semester + summer (16+ weeks),"Oregon-based high school sophomores, juniors, and seniors aged 16+","students who want a structured biomedical research pipeline that builds research literacy before lab work. What you do: From January to May, students attend a weekly lecture series, work with a research mentor, present a published research article, and develop a research proposal....",https://www.psiprogramohsu.com/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
University of Rochester Laboratory for Laser Energetics Summer High School Research Program,University of Rochester Laboratory for Laser Energetics Summer High School Research Program,Research,"Rochester, NY Format: Summer Length: 8 weeks Cost: Free;",Engineering,,Summer (8 weeks),Rochester-area high school students who have completed their junior year,"students receive a stipend Eligibility: Rochester-area high school students who have completed their junior year Best for: Local students excited by fusion lasers who are interested in diving into laser & plasma physics, engineering, or materials science. What you do: Work with scientists and engineers on a supervised research project connected to LLE’s laser research program, and present your...",https://www.lle.rochester.edu/education/summer-research-program-for-high-school-juniors/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Seattle Children’s Hospital Research Training Program,Seattle Children’s Hospital Research Training Program,Research,"Seattle, WA Format: Summer Length: 4 weeks Cost: Free;",Medicine,,Summer (4 weeks),Rising juniors and seniors within commuting distance of downtown Seattle,"students receive a stipend of $2,000 Eligibility: Rising juniors and seniors within commuting distance of downtown Seattle Best for: Local students interested in a career in biomedical research who are looking for a shorter, intensive program. What you do: Learn how to work in a research lab, explore topics like immunotherapy, gene editing, and infectious disease, participate in college &...",https://www.seattlechildrens.org/research/centers-programs/science-education-department/high-school-training-programs/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Northeastern University Young Scholars Program,Northeastern University Young Scholars Program,Research,"Boston, MA Format: Summer Length: 6 weeks Cost: Free Eligibility:",Medicine,,Summer (6 weeks),Massachusetts residents who are rising seniors and live within commuting distance of campus,"are rising seniors and live within commuting distance of campus Best for: Local students looking for mentored STEM lab experience, plus career exploration. What you do: Work in a research laboratory within Northeastern University’s Colleges of Engineering, Science, and Health Sciences while receiving individualized mentorship, career and education counseling, and...",https://stem.northeastern.edu/summer/ysp/,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Columbia ENG (Engineering the Next Generation),Columbia ENG (Engineering the Next Generation),Research,"New York, NY Format: Summer Length: 6 weeks Cost: Free;",Computer Science,,Summer (6 weeks),NYC-based high school juniors,"students are paid $17/hour for up to 25 hours/week Eligibility: NYC-based high school juniors Best for: Local students who want a paid, mentored engineering research experience. What you do: Students are accepted to one of two tracks: Foundations of Research (FoR), which includes areas like biomedical science, computer science, and environmental engineering, or Center for Smart Streetscapes (CS3), which...",https://outreach.engineering.columbia.edu/eng,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
National Cancer Institute Werner H. Kirsten Student Internship Program,National Cancer Institute Werner H. Kirsten Student Internship Program,Research,"Frederick, MD Format: Academic year & summer Length: 1 year Cost: Free; academic credit available during school year, stipend provided in summer Eligibility: High school junior age 17+ who attends an eligible school located within a 30-mile radius of campus Best for:",Medicine,,Academic year & summer (1 year),High school junior age 17+ who attends an eligible school located within a 30-mile radius of campus,"students interested in biomedical research who want a long-term internship experience. What you do: Gain research experience in areas like molecular biology, cancer metabolism,...",https://ncifrederick.cancer.gov/careers/student_programs/internships/sip/ProgramInformation.aspx,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
Argonne National Laboratory — Exemplary Student Research Program,Argonne National Laboratory — Exemplary Student Research Program,Research,"Lemont, IL Format: All Year Length: 1 school year Cost: Free Eligibility: Application must be completed by participating teacher,",STEM,,All Year (1 school year),"Application must be completed by participating teacher, and all students must be 16+","participating teacher, and all students must be 16+ Best for: Students in Honors/AP STEM classes whose teacher wants to lead a team-based research project in partnership with a national lab. What you do: Conduct a full research project cycle as part of a school team (4-8 students plus a teacher) mentored by Argonne scientists. Work occurs during the fall &...",https://www.anl.gov/education/exemplary-student-research-program,College Transitions,https://www.collegetransitions.com/blog/research-opportunities-for-high-school-students/,2026-06-10T02:00:39+00:00
